,FMID,MarketName,Facebook,Twitter,Youtube,Website,has_social_media,city,State,street,County,x,y,Credit,WIC,WICcash,SFMNP,Organic,Flowers,Vegetables,Meat,Nursery,Wine,Coffee,Fruits,PetFood,WildHarvested,updateTime,Location,AddressNumber,PlaceName,StateName,StreetName,StreetNamePreDirectional,StreetNamePostDirectional,ZipCode,StreetNamePrefix,StreetNameSuffix,USPSBox,OccupancySuite
493,1007653,Bell County Farmers Market Association I,,,,http://www.austinfarmersmarket.org,True,Belton,Texas,east central and penelope,Bell,-97.4619,31.0559,0,0,0,0,,,,,,,,,,,2009,,,,,east central and penelope,,,,,,,
494,1007182,Bell County Farmers Market Association II,,,,,False,Temple,Texas,212 main south street,Bell,-97.342,31.0945,0,0,0,0,,,,,,,,,,,2009,,212,,,main,south,,,,street,,
495,1004824,Bella Vista CFM,,,,,False,Bella Vista,California,22509 old alturas rd,Shasta,-122.235,40.6378,0,0,0,0,,,,,,,,,,,2011,,22509,,,old alturas,,,,,rd,,
496,1003347,Bella Vista Farmers Market,,,,http://www.market.cbmcci.com/,True,Bella Vista,Arkansas,1451 bella vista way,,-94.241,36.4714,0,0,0,0,,,,,,,,,,,2009,,1451,,,bella vista,,,,,way,,
497,1011051,Bellaire Farmers Market,www.facebook.com/BellaireFarmersMarket,,,,True,Bellaire,Michigan,102 maple street,Antrim,-85.205265,44.974831,1,1,0,1,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6/27/2016 1:17:02 PM,,102,,,maple,,,,,street,,
498,1012629,Belle Plaine Farmers Market,Belle Plaine IA Farmers Mkt,,,,True,Belle Plaine,Iowa,12th st,Benton,-92.2749472,41.8963048,1,1,0,1,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/14/2016 11:50:34 PM,,,,,12th,,,,,st,,
499,1001076,Belleairs Market on the Mall,,,,http://www.belleairrec.com,True,Belleair,Florida,901 ponce de leon blvd,Pinellas,-82.8035,27.9351,0,0,0,0,,,,,,,,,,,2011,,901,,,ponce de leon,,,,,blvd,,
500,1010227,Bellefonte DE Farmers Market,https://www.facebook.com/BellefonteFarmersMarket,,,http://bellefontefarmersmarket.com/,True,Bellefonte,Delaware,912 brandywine boulevard,New Castle,-75.499515,39.766661,1,0,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5/23/2014 11:00:07 PM,Private business parking lot,912,,,brandywine,,,,,boulevard,,
501,1007114,Bellefonte FM,,,,,False,Bellefonte,Pennsylvania,allegheny east high sts,Centre County,-77.778,40.9122,0,0,0,0,,,,,,,,,,,2011,,,,,allegheny east high,,,,,sts,,
502,1011902,Belleville Farmers Market,https://www.facebook.com/bellevillechambermainstreet/?ref=settings,,,http://bellevilleks.org,True,Belleville,Kansas,1815 m st,Republic,-97.631021,39.823532,1,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/27/2016 4:01:02 PM,,1815,,,m,,,,,st,,
503,1001082,Belleville Farmers Market,,,,,False,Belleville,Michigan,main street,Wayne,-83.4907,42.2083,0,0,0,0,,,,,,,,,,,2009,,,,,main,,,,,street,,
504,1001176,Belleville Farmers Market  Livestock,,,,,False,Belleville,Pennsylvania,penn south street,Mifflin,-77.7229,40.6046,0,0,0,0,,,,,,,,,,,2009,,,,,penn,south,,,,street,,
505,1008875,Belleville Old Town Market,https://www.facebook.com/pages/Belleville-Old-Town-Market/156265797784556,,,http://www.bellevillemainstreet.net,True,Belleville,Illinois,intersection of main and 1st west street,St. Clair,-89.985586,38.513605,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/18/2013 5:42:55 PM,Local government building grounds,,intersection,of,main and 1st,west,,,,street,,
506,1005468,Bellevue Area Farmers Market,,,,,False,Bellevue,Iowa,gazebo,Jackson,-90.455,42.262,0,0,0,0,,,,,,,,,,,2009,,,,,gazebo,,,,,,,
507,1001204,Bellevue Farmers Market,,,,http://www.battlecreekfarmersmarket.com,True,Bellevue,Michigan,main st,Eaton,-85.018644,42.44585,1,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3/31/2014 6:42:19 PM,Other,,,,main,,,,,st,,
508,1002917,Bellevue Farmers Market,https://www.facebook.com/bellevueFM/,https://twitter.com/BellevueFarmMkt,,http://bellevuefarmersmarket.org,True,Bellevue,Washington,1717 bellevue ne way,King,-122.202,47.626,1,1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6/28/2016 6:51:26 PM,,1717,,,bellevue,,ne,,,way,,
509,1008085,Bellevue Farmers MarketSaturday,https://www.facebook.com/pages/Bellevue-Farmers-Market/106575142705237,https://twitter.com/BellevueFarmMkt,,http://www.bellevuefarmersmarket.org,True,Bellevue,Washington,6th northeast street,King,-122.199021,47.615575,1,1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6/11/2013 9:25:34 PM,Other,,,,6th,northeast,,,,street,,
510,1010259,Bellevue Farmers Market,https://www.facebook.com/bellevuenebraskafarmersmarket,,,http://www.bellevuenebraskafarmersmarket.com,True,Bellevue,Nebraska,20 franklin,Sarpy,-95.8936715,41.1396043,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5/30/2014 8:34:14 PM,Local government building grounds,20,,,franklin,,,,,,,
511,1004973,Bellflower Farmers Market,,,,http://www.farmernet.com,True,Bellflower,California,clark street,Los Angeles,-118.134,33.8847,0,0,0,0,,,,,,,,,,,2009,,,,,clark,,,,,street,,
512,1008140,Bellingham Farmers Market,https://www.facebook.com/pages/Bellingham-Farmers-Market/30710694970,https://twitter.com/BhamFarmersMkt,,http://www.bellinghamfarmers.org,True,Bellingham,Washington,1207 10th street,Whatcom,-122.469657,48.75262,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/1/2015 6:49:39 PM,,1207,,,10th,,,,,street,,
513,1008824,Bellows Falls Farmers Market,https://www.facebook.com/BellowsFallsFarmersMarket?ref=hl,,,http://www.bffarmersmarket.com,True,Bellows Falls,Vermont,,Windham,-72.444878,43.135697,1,0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3/19/2014 8:25:54 AM,Local government building grounds,,,,,,,,,,,
514,1000940,Bellville Farmers Market,https://www.facebook.com/BellvilleFarmersMarket,,,http://www.bellvilleohio.net,True,Bellville,Ohio,142 park place,Richland,-82.5116,40.6198,0,0,0,0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/13/2013 7:45:30 PM,Other,142,,,park,,,,,place,,
515,1009929,Belmar Fresh Market,https://www.facebook.com/pages/Colorado-Fresh-Markets/110945278932210,,,http://www.coloradofreshmarkets.com/,True,Lakewood,Colorado,,Jefferson,-105.0813552,39.7111007,1,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6/25/2014 9:44:21 PM,Private business parking lot,,,,,,,,,,,
516,1005168,Belmond Area Farmers Market,,,,,False,Belmond,Iowa,,Wright,-93.6155,42.8478,0,0,0,0,,,,,,,,,,,Apr 27 2010 4:50 PM,,,,,,,,,,,,
517,1011488,Belmont Certified Farmers Market,facebook.com/BelmontMarket,twitter.com/PacCoastFarmers,,http://pcfma.org,True,Belmont,California,real and oneill el camino st,San Mateo,-122.273595,37.518818,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/22/2015 2:13:03 PM,,,,,real and oneill,,,,el camino,st,,
518,1002064,Belmont Farmers Market,https://www.facebook.com/pages/Southern-Tier-Farmers-Market/165092373544019,,,,True,Belmont,New York,32 willets ave rt 19,Allegany,-78.040287,42.225794,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/14/2014 4:49:21 PM,Other,32,,,willets,,,,,ave,,rt 19
519,1009323,Belmont Farmers Market NC,,,,http://www.localharvest.org/belmont-farmers-market-nc-M58853,True,Belmont,North Carolina,empty lot main north st,,-81.0437,35.2572,1,0,0,0,,,,,,,,,,,2013,,,empty,lot,main,north,,,,st,,
520,1001640,Belmont Farmers Market,https://www.facebook.com/BelmontFarmersMarket,https://twitter.com/BelmontFarmersMkt,,http://www.belmontfarmersmarket.org,True,Belmont,Massachusetts,cross street channing road,Middlesex,-71.1738075,42.396577,1,1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6/27/2016 1:01:52 PM,,,,,cross street channing,,,,,road,,
521,1000530,Belton Farmers Market,,,,,False,Belton,South Carolina,main street blake north street,Anderson,-82.496,34.5268,0,0,0,0,,,,,,,,,,,2009,,,,,main street blake,north,,,,street,,
522,1011363,Belton Farmers Market,https://www.facebook.com/pages/Belton-Mo-Farmers-Market/671066459653137,,,http://www.beltoncommunityprojects.com/#!projects/c21kz,True,Belton,Missouri,,Cass,-94.524898,38.808364,1,0,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/10/2016 3:19:28 PM,,,,,,,,,,,,
523,1003956,Belvidere Farmers Market,https://www.facebook.com/BelvidereFarmersMarketandCrafts,,,http://www.belviderefarmersmarket.com,True,Belvidere,Illinois,1940 state north st,Boone,-88.861885,42.272038,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6/1/2012 10:42:51 PM,Private business parking lot,1940,,,state,north,,,,st,,
524,1009956,Belvidere NJ Farmers Market,https://www.facebook.com/belviderefarmersmarket,,,http://www.belviderenjfarmersmarket.com,True,Belvidere,New Jersey,2nd street,Warren,-75.076496,40.827259,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4/17/2014 12:00:57 PM,Closed-off public street,,,,2nd,,,,,street,,
525,1008877,Belvideres Hometown Market,https://www.facebook.com/BelvidereHometownMarket,,,,True,Belvidere,Illinois,state south street,Boone,-88.8403969,42.2564991,1,1,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/7/2014 10:44:40 AM,Local government building grounds,,,,state,south,,,,street,,
526,1008722,Bemidji Area Farmers Market,https://www.facebook.com/groups/bemidjiareafarmersmarket/,,,http://www.bemidjifarmersmarket.com,True,Bemidji,Minnesota,200 paul bunyan s dr,Beltrami,-94.879466,47.469264,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6/28/2013 12:56:43 AM,Private business parking lot,200,,,paul bunyan,,s,,,dr,,
527,1001316,Bemidjis Natural Choice Farmers Market,http://www.facebook.com/bemidjisfarmersmarket,,,http://www.bemidjisnaturalfarmersmarket.com,True,Bemidji,Minnesota,,Beltrami,-94.880609,47.469337,1,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6/27/2016 9:00:30 PM,,,,,,,,,,,,
528,1007658,Bend Farmers Market,,,,http://www.bendfarmersmarket.com,True,Bend,Oregon,,Deschutes,-121.321,44.06,0,0,0,0,,,,,,,,,,,2011,,,,,,,,,,,,
529,1001533,Benica Certified Farmers Market,,,,http://www.beniciamainstreet.org,True,Benicia,California,,Solano,-122.161188,38.046215,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3/31/2014 3:51:18 PM,Closed-off public street,,,,,,,,,,,
530,1010001,Bennet Farmers Market,,,,,False,Bennet,Nebraska,,Lancaster,-96.503695,40.680498,0,0,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/22/2014 2:08:20 PM,Local government building grounds,,,,,,,,,,,
531,1000934,Bennigton Township Farmers Market,,,,http://www.bennington-township.org/,True,Owosso,Michigan,5849 m 52 south,Shiawassee,-84.1682,43.0829,0,0,0,0,,,,,,,,,,,Jun 2 2010 2:12 PM,,5849,,,m 52,south,,,,,,
532,1012679,Bensenville French Market,facebook.com/BensenvilleFrenchMarket,https://twitter.com/BensidounMarket,,http://www.bensidounmidwestmarkets.com/,True,Bensenville,Illinois,10 center south street,DuPage,-87.941926,41.95608,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7/16/2016 5:11:01 PM,,10,,,center,south,,,,street,,
533,1007425,Benson Farmers Market,https://www.facebook.com/BensonFarmersMarket?ref=ts,,,http://www.bensonfarmersmarket.org,True,Omaha,Nebraska,at maple avenue street,Douglas,-96.008148,41.285288,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/16/2014 10:17:04 PM,Closed-off public street,,,,at maple,,,,avenue,street,,
534,1005543,Benson Mill Harvest Days,,,,http://www.bensonmill.org,True,Stansbury Park,Utah,325 138 state road,Tooele,-112.2973,40.65062,0,0,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/25/2012 2:07:54 PM,Local government building grounds,325,,,138,,,,state road,,,
535,1008920,Bensonhurst,https://www.facebook.com/BrooklynGreenmarkets,,,http://www.grownyc.org,True,Brooklyn,New York,,New York,-74.0109559,40.615535,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/5/2014 3:15:18 PM,Other,,,,,,,,,,,
536,1009219,Benton City Community Market,,,,http://www.localharvest.org/benton-city-community-market-M18889,True,Benton City,Washington,806 dale ave,,-119.487,46.2634,1,0,0,0,,,,,,,,,,,2013,,806,,,dale,,,,,ave,,
537,1004458,Benton Farmers Market,,,,,False,Benton,Arkansas,market street side of courthouse,Saline,-92.5884,34.5612,0,0,0,0,,,,,,,,,,,2009,,,,,market street side of courthouse,,,,,,,
538,1000333,Benton Farmers Market,,,,,False,Benton,Illinois,,Franklin,-90.363,39.4823,0,0,0,0,,,,,,,,,,,2009,,,,,,,,,,,,
539,1010815,Benton Farmers Market,Benton Farmers' Market,,,http://www.bentonlafarmersmarket.com,True,Benton,Louisiana,495 simpson,Bossier,-93.737025,32.69486,1,0,0,1,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2/9/2015 4:03:49 PM,,495,,,simpson,,,,,,,
540,1005291,Benton Harbor Farmers Market,www.facebook.com/bentonharborfarmersmarket,,,,True,Benton Harbor,Michigan,pipestone,Berrien,-86.454635,42.115797,1,1,0,1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/2/2015 2:35:41 PM,,,,,pipestone,,,,,,,
541,1012718,Bentonville Farmers Market  Saturday,https://www.facebook.com/BentonvilleFarmersMarket,,,http://www.downtownbentonville.org/farmersmarket,True,Bentonville,Arkansas,100 main north st,Benton,-94.208816,36.3723485,1,1,1,1,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7/21/2016 5:47:03 PM,,100,,,main,north,,,,st,,
542,1010940,Bentonville Farmers Market  Wednesday,https://www.facebook.com/BentonvilleFarmersMarket,,,http://downtownbentonville.org/events/farmers-market/,True,Bentonville,Arkansas,1101 citizens southwest cr,Benton,-94.225177,36.330894,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3/19/2015 2:56:08 PM,,1101,,,citizens,southwest,,,,cr,,
543,1012011,Berea Farmers Market,https://www.facebook.com/bereafarmersmarket/,https://twitter.com/BereaFarmMarket,,http://bereafarmersmarket.org/,True,Berea,Kentucky,416 chestnut st,Madison,-84.297477,37.5682107,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6/16/2016 4:09:05 PM,,416,,,chestnut,,,,,st,,
544,1009491,Berkeley Lakeside Market,https://www.facebook.com/BerkeleyLakesideMarket,,,http://www.berkeleylakesidemarket.mudfairyfarm.com/,True,Berkeley Lake,Georgia,4043 berkeley lake south rd,,-84.1883,33.9851,1,0,0,0,,,,,,,,,,,2013,,4043,,,berkeley lake,south,,,,rd,,
545,1005183,Berkeley Springs Farmers Market,https://www.facebook.com/pages/Berkeley-Springs-Farmers-Market/354062496235,,,http://www.berkeleyspringsfarmersmarket.com,True,Berkeley Springs,West Virginia,fairfax street,Morgan,-78.227638,39.626698,1,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3/13/2014 3:37:06 PM,Closed-off public street,,,,fairfax,,,,,street,,
546,1007371,Berkshire  Rome Vendors Market,,,,,False,Rome,New York,101 block west dominick,Oneida,-75.458307,43.210056,1,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3/20/2014 9:51:58 AM,Private business parking lot,101,,,block west dominick,,,,,,,
547,1004320,Berkshire Area Farmers Market,,,,,False,Lanesboro,Massachusetts,mall road,Berkshire,-73.207,42.49,1,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8/14/2012 2:51:10 PM,Other,,,,mall,,,,,road,,
548,1005773,Berkshire Grown Winter Farmers Market Great Barrington,https://www.facebook.com/BerkshireGrown,,,http://berkshiregrown.org/programs/winter-farmers-markets/,True,Great Barrington,Massachusetts,313 monument valley road,Berkshire,-73.3288593,42.2441394,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3/28/2016 1:46:37 PM,,313,,,monument valley,,,,,road,,
549,1011835,Berkshire Grown Winter Farmers Market Williamstown,https://www.facebook.com/BerkshireGrown,,,http://berkshiregrown.org/programs/winter-farmers-markets/,True,Williamstown,Massachusetts,,Berkshire,-73.2035441,42.7088388,1,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3/28/2016 1:45:31 PM,,,,,,,,,,,,
550,1001622,Berkshire Harmony Downtown Pittsfield Farmers Markets Music and Creative Arts Fair,,,,http://www.berkshireharmony.com,True,Pittsfield,Massachusetts,51 holmes road,Berkshire,-73.253489,42.448217,0,1,0,1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5/24/2012 2:52:23 PM,Other,51,,,holmes,,,,,road,,
551,1007659,Berlin  Farmers Market,,,,http://www.berlinchamber.org/event-farmers-market,True,Berlin,Maryland,main west north st-,Worcester,-76.8194,39.0641,0,1,0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/24/2011 9:17:13 AM,,,,,main west,north,,,,st-,,
552,1011942,Berlin Farmers  Artists Market,https://www.facebook.com/Berlin.WI.FarmersMarket/,,https://www.youtube.com/channel/UC3KCiT-hRPL-_YUduEUIuvw,http://berlinwi.wix.com/market,True,Berlin,Wisconsin,state north street,Green Lake,-88.942278,43.968876,1,1,1,1,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5/9/2016 2:06:52 PM,,,,,state,north,,,,street,,
553,1012087,BERLIN FARMERS MARKET,https://www.facebook.com/Berlin-Farmers-Market-Berlin-Ct-390030617712122/,,,,True,Berlin,Connecticut,,Hartford,-72.786014,41.643845,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6/28/2016 7:20:58 PM,,,,,,,,,,,,
554,1011252,Berlin Local Works Farmers Market,https://www.facebook.com/berlin.farmersmarket,,,http://www.wrenworks.org,True,Berlin,New Hampshire,pleasant st rt16s,Coos,-71.18306,44.469527,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6/17/2015 7:12:13 PM,,,pleasant,st,,,,rt16s,,,,
555,1001424,Bernardston Farmers Market,https://www.facebook.com/pages/Bernardston-Farmers-Market-Sat-10-1/250630118284345,,,,True,Bernardston,Massachusetts,58 church st,Franklin,-72.5489526,42.6710011,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4/24/2014 9:18:13 AM,"Faith-based institution (e.g., church, mosque, synagogue, temple)",58,,,church,,,,,st,,
556,1011221,Bernice Garden Farmers Market,https://m.facebook.com/pages/Bernice-Garden-Farmers-Market/192032990911029?fref=ts,,,http://www.thebernicegarden.org/?portfolio=farmers-market,True,Little Rock,Arkansas,1401 main south street,Pulaski,-92.272565,34.7350179,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6/9/2015 1:40:24 AM,,1401,,,main,south,,,,street,,
557,1002802,Berrien County farmers market,,,,http://www.Better hometown.com,True,Nashville,Georgia,marion street,Berrien,-83.245211,31.206709,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/4/2014 2:09:32 PM,Private business parking lot,,,,marion,,,,,street,,
558,1010605,Berrys Produce  Country Market,,,,,False,Princeton,Indiana,1415 brumfield west ave,Gibson,-87.583806,38.357542,1,0,0,0,,,,,,,,,,,9/25/2014 12:03:49 AM,,1415,,,brumfield,west,,,,ave,,
559,1011447,Berryessa Farmers Market,www.facebook.com/BerryessaFarmersMarket,www.twitter.com/PacCoastFarmers,,http://www.pcfma.org,True,San Jose,California,1376 piedmont road,Santa Clara,-121.847368,37.40204,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/20/2015 2:02:27 PM,,1376,,,piedmont,,,,,road,,
560,1004403,berryville farmers market,https://www.facebook.com/pages/Berryville-Farmers-market/406568499439280,,,,True,berryville,Arkansas,,Carroll,-93.567287,36.364472,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/28/2016 11:51:58 AM,,,,,,,,,,,,
561,1011149,Berthoud Local Farmers Market,facebook.com/berthoudlocal,,,http://berthoudlocal.org,True,Berthoud,Colorado,620 mountin ave,Larimer,-105.082636,40.305329,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6/27/2016 2:47:50 PM,,620,,,mountin,,,,,ave,,
562,1011685,Berwick Winter Farmers Market,https://www.facebook.com/berwickmainefarmersmarket,,,https://berwickfarmersmarket.wordpress.com/,True,Berwick,Maine,11 sullivan square,York,-70.8649912,43.2668068,1,0,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7/12/2016 6:10:12 PM,,11,,,sullivan,,,,,square,,
563,1010832,Berwyn Township Farmers Market,Berwyn Township Farmers' Market,,,http://berwyntownshipfarmersmarket.org/,True,Berwyn,Illinois,6600 26th west street,Cook,-87.7882889,41.8433103,1,0,0,0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2/20/2015 9:45:51 AM,,6600,,,26th,west,,,,street,,
564,1005173,BESSEMER FARMERS MARKET,https://www.facebook.com/groups/436681066414815/,,,http://www.bessemerfarmersmarket.com/,True,BESSEMER,Alabama,,Jefferson,-86.951433,33.401168,1,0,0,1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/12/2016 9:57:10 AM,,,,,,,,,,,,
565,1010985,Bethany Beach Farmers Market,,,,,False,Bethany Beach,Delaware,garfield parkway,Sussex,-75.057188,38.5382249,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/26/2015 7:43:13 PM,,,,,garfield,,,,,parkway,,
566,1005277,Bethany Farmers Market,https://www.facebook.com/pages/Bethany-CT-Farmers-Market/171830646224253,,,http://www.bethanyfarmersmarket.com,True,Bethany,Connecticut,711 amity rd,New Haven,-72.9914827,41.4385519,1,1,0,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6/27/2016 10:01:46 PM,,711,,,amity,,,,,rd,,
567,1007052,Bethany Farmers Market,,,,,False,Bethany,Oklahoma,,Oklahoma,-97.5095,35.584,0,0,0,0,,,,,,,,,,,3/1/2012 10:14:40 AM,,,,,,,,,,,,
568,1010111,Bethany Farmers Market,,,,,False,Bethany,Missouri,3606 miller st,Harrison,-94.017747,40.264977,0,0,0,0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5/6/2014 8:19:22 PM,Private business parking lot,3606,,,miller,,,,,st,,
569,1003666,Bethel Farmers Market,https://www.facebook.com/pages/Bethel-Farmers-Market/154633517928274,,,http://www.bethelfarmersmarket.com,True,Bethel,Maine,2 parkway,Oxford,-70.794075,44.412018,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4/30/2012 3:13:32 PM,Private business parking lot,,,,2,,,,,parkway,,
570,1007462,Bethel Farmers Market,,,,,False,Bethel,Connecticut,,Fairfield,-73.3838,41.4149,0,0,0,0,,,,,,,,,,,2009,,,,,,,,,,,,
571,1004386,Bethel Farmers Market,,,,,False,Bethel,Vermont,,Windsor,-72.6461,43.8444,0,0,0,0,,,,,,,,,,,2009,,,,,,,,,,,,
572,1000745,Bethesda  Farm Womens Market,https://www.facebook.com/pages/Bethesda-Farm-Womens-Market/697706890333533,https://twitter.com/BethFWM,https://youtu.be/0bs5rEYAZYQ,http://www.farmwomensmarket.com,True,Bethesda,Maryland,7155 wisconsin avenue,Montgomery,-77.09232,38.98105,1,0,0,0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7/28/2015 3:23:18 PM,,7155,,,wisconsin,,,,,avenue,,
573,1010406,Bethesda Central Farm Market,www.facebook.com/CentralFarmMarkets,@CentralFarmMKTs,,http://www.centralfarmmarkets.com,True,Bethesda,Maryland,7600 arlington road,Montgomery,-77.099203,38.987028,1,1,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3/23/2015 10:00:25 PM,,7600,,,arlington,,,,,road,,
574,1006801,Bethesda FRESHFARM Market,,,,http://www.freshfarmmarkets.org/markets/bethesda.html,True,Bethesda,Maryland,7800 norfolk avenue,Montgomery,-77.09656,38.98877,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5/2/2012 1:28:51 PM,Closed-off public street,7800,,,norfolk,,,,,avenue,,
575,1012494,Bethlehem Farmers Market,facebook.com/BethlehemFarmersMarketPA,twitter.com/BethFarmMkt,,http://www.bethlehemfarmersmarket.com,True,Bethlehem,Pennsylvania,,Lehigh,-75.3784029,40.6098058,1,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/12/2016 2:16:56 PM,,,,,,,,,,,,
576,1012624,Bettendorf Farmers Market,Mississippi Valley Growers farmers Market,,,http://mvgrowers.com,True,Bettendorf,Iowa,,Scott,-90.50228,41.524972,1,1,0,1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7/14/2016 9:57:37 PM,,,,,,,,,,,,
577,1005222,Better Lives Today Farmers Market,,,,http://www.betterlivestoday.org,True,Richland,Missouri,222 pine pine and mcclurg south,Pulaski,-92.4043396,37.8569838,0,0,0,0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6/5/2012 11:22:29 AM,,222,,,pine pine and mcclurg,south,,,,,,
578,1000335,Beverly Farmers Market,https://www.facebook.com/beverlyfarmersmarket,https://twitter.com/BevFarmersMkt,,http://www.beverlyfarmersmarket.org,True,Beverly,Massachusetts,rantoul street,Essex,-70.884345,42.54678,1,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4/2/2014 12:42:39 PM,Local government building grounds,,,,rantoul,,,,,street,,
579,1001460,Beverly Hills Farmers Market,https://www.facebook.com/BHFarmersMarket,,,http://www.beverlyhills.org/farmersmarket,True,Beverly Hills,California,9300 civic center drive,Los Angeles,-118.398907,34.074257,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3/17/2014 10:52:28 AM,Closed-off public street,9300,,,civic center,,,,,drive,,
